quarter cycle,t,V_drive,i,i_m,v_C
1,2.07E-05,0,55.06952943900984,2.9465540711325016,87.61790794146218
1,2.0799999999999997E-05,0,54.7784194304446,2.9771817026258414,88.12891750389235
1,2.0899999999999996E-05,0,54.48706463037531,3.007915617807992,88.63677277573372
1,2.0999999999999995E-05,0,54.19547158767916,3.0387548904257002,89.14147031507261
1,2.1099999999999994E-05,0,53.903646841517904,3.069698594123531,89.64300675328097
1,2.1199999999999994E-05,0,53.61159692122379,3.100745802463334,90.14137879492209
1,2.1299999999999993E-05,0,53.31932834618598,3.131895588943667,90.63658321765503
1,2.139999999999999E-05,0,53.02684762573745,3.1631470270191775,91.1286168721378
1,2.149999999999999E-05,0,52.7341612590423,3.1944991901199424,91.61747668192915
1,2.159999999999999E-05,0,52.4412757349836,3.2259511516707637,92.10315964338918
1,2.169999999999999E-05,0,52.14819753205161,3.2575019851104217,92.58566282557852
1,2.1799999999999988E-05,0,51.85493311823258,3.2891507639108846,93.06498337015638
1,2.1899999999999987E-05,0,51.56148895089789,3.320896561596475,93.54111849127719
1,2.1999999999999986E-05,0,51.267871476693756,3.3527384517629915,94.01406547548602
1,2.2099999999999985E-05,0,50.97408713143138,3.3846755080967865,94.4838216816128
1,2.2199999999999984E-05,0,50.68014233997755,3.4167068043937987,94.9503845406651
1,2.2299999999999983E-05,0,50.38604351614572,3.4488314145785424,95.41375155571984
1,2.2399999999999982E-05,0,50.09179706258758,3.4810484127230485,95.87392030181364
1,2.249999999999998E-05,0,49.797409370685095,3.513356873065764,96.33088842583192
1,2.259999999999998E-05,0,49.502886820443,3.5457558700304017,96.7846536463968
1,2.269999999999998E-05,0,49.20823578038181,3.5782444782447467,97.2352137537538
1,2.2799999999999978E-05,0,48.91346260743127,3.610821772559415,97.6825666096571
1,2.2899999999999977E-05,0,48.61857364682429,3.643486828066567,98.12671014725389
1,2.2999999999999976E-05,0,48.3235752319914,3.676238720118571,98.56764237096719
1,2.3099999999999975E-05,0,48.02847368445563,3.7090765243466235,99.0053613563777
1,2.3199999999999974E-05,0,47.73327531372794,3.7419993166793186,99.43986525010426
1,2.3299999999999973E-05,0,47.43798641720303,3.7750061733611715,99.87115226968317
1,2.3399999999999972E-05,0,47.14261328005577,3.808096170971093,100.29922070344632
