cycle,t,i,i_m,v_C
2,3.14E-05,22.62948916,6.643990782,124.0851252
2,3.15E-05,21.7781307,6.680679646,124.2418458
2,3.16E-05,20.92851379,6.717309842,124.38986
2,3.17E-05,20.08065054,6.753879133,124.5291855
2,3.18E-05,19.234553,6.790385291,124.6598402
2,3.19E-05,18.39023315,6.826826091,124.7818418
2,3.20E-05,17.54770291,6.863199317,124.8952085
2,3.21E-05,16.70697414,6.899502759,124.9999586
2,3.22E-05,15.86805863,6.935734215,125.0961103
2,3.23E-05,15.0309681,6.971891487,125.1836821
2,3.24E-05,14.19571423,7.007972387,125.2626926
2,3.25E-05,13.36230862,7.043974732,125.3331607
2,3.26E-05,12.53076279,7.079896346,125.3951051
2,3.27E-05,11.70108823,7.11573506,125.448545
2,3.28E-05,10.87329634,7.151488712,125.4934994
2,3.29E-05,10.04739847,7.187155147,125.5299877
2,3.30E-05,9.223405892,7.222732217,125.5580293
2,3.31E-05,8.40132983,7.258217781,125.5776438
2,3.32E-05,7.581181432,7.293609705,125.5888508
2,3.33E-05,6.762971783,7.328905862,125.5916701
2,3.34E-05,5.946711905,7.364104132,125.5861217
2,3.35E-05,5.132412756,7.399202402,125.5722257
2,3.36E-05,4.320085225,7.434198567,125.5500023
2,3.37E-05,3.509740141,7.469090528,125.5194718
2,3.38E-05,2.701388263,7.503876195,125.4806546
2,3.39E-05,1.89504029,7.538553482,125.4335714
2,3.40E-05,1.090706852,7.573120314,125.3782428
2,3.41E-05,0.288398515,7.607574621,125.3146898
2,3.42E-05,-0.511874221,7.641914341,125.2429331
2,3.43E-05,-1.310100921,7.676137418,125.162994
2,3.44E-05,-2.106271215,7.710241806,125.0748937
2,3.45E-05,-2.900374799,7.744225465,124.9786533
2,3.46E-05,-3.692401436,7.778086361,124.8742945
2,3.47E-05,-4.482340953,7.811822471,124.7618388
2,3.48E-05,-5.270183243,7.845431775,124.6413077
2,3.49E-05,-6.055918266,7.878912263,124.5127233
2,3.50E-05,-6.839536046,7.912261934,124.3761073
2,3.51E-05,-7.621026675,7.945478791,124.2314818
2,3.52E-05,-8.40038031,7.978560848,124.078869
2,3.53E-05,-9.177587175,8.011506123,123.9182912
2,3.54E-05,-9.952637558,8.044312646,123.7497706
2,3.55E-05,-10.72552182,8.07697845,123.57333
2,3.56E-05,-11.49623037,8.109501579,123.3889917
2,3.57E-05,-12.26475371,8.141880083,123.1967787
2,3.58E-05,-13.03108238,8.174112021,122.9967136
2,3.59E-05,-13.79520702,8.206195459,122.7888196
2,3.60E-05,-14.5571183,8.23812847,122.5731195
2,3.61E-05,-15.31680699,8.269909136,122.3496367
2,3.62E-05,-16.0742639,8.301535546,122.1183944
2,3.63E-05,-16.82947991,8.333005797,121.879416
2,3.64E-05,-17.58244599,8.364317995,121.6327249
2,3.65E-05,-18.33315315,8.395470252,121.3783449
2,3.66E-05,-19.08159248,8.426460689,121.1162996
2,3.67E-05,-19.82775513,8.457287434,120.8466128
2,3.68E-05,-20.57163233,8.487948625,120.5693084
2,3.69E-05,-21.31321536,8.518442405,120.2844106
2,3.70E-05,-22.05249557,8.548766928,119.9919434
2,3.71E-05,-22.78946439,8.578920353,119.691931
2,3.72E-05,-23.5241133,8.608900849,119.3843978
2,3.73E-05,-24.25643386,8.638706593,119.0693682
2,3.74E-05,-24.98641769,8.668335769,118.7468669
2,3.75E-05,-25.71405648,8.69778657,118.4169183
2,3.76E-05,-26.43934199,8.727057196,118.0795473
2,3.77E-05,-27.16226603,8.756145857,117.7347787
2,3.78E-05,-27.8828205,8.785050769,117.3826374
2,3.79E-05,-28.60099735,8.813770158,117.0231485
2,3.80E-05,-29.31678861,8.842302256,116.656337
2,3.81E-05,-30.03018637,8.870645305,116.2822283
2,3.82E-05,-30.74118278,8.898797555,115.9008476
2,3.83E-05,-31.44977008,8.926757264,115.5122203
2,3.84E-05,-32.15594055,8.954522697,115.116372
2,3.85E-05,-32.85968655,8.98209213,114.7133282
2,3.86E-05,-33.56100052,9.009463844,114.3031147
2,3.87E-05,-34.25987493,9.036636131,113.8857572
2,3.88E-05,-34.95630236,9.06360729,113.4612816
2,3.89E-05,-35.65027543,9.090375628,113.0297139
2,3.90E-05,-36.34178684,9.116939462,112.5910801
2,3.91E-05,-37.03082935,9.143297115,112.1454063
2,3.92E-05,-37.71739578,9.16944692,111.6927188
2,3.93E-05,-38.40147904,9.195387218,111.2330438
2,3.94E-05,-39.08307209,9.221116359,110.7664079
