cycle,t,V_drive,i,i_m,v_C
64,0.001013299999999779,36,50.433915736267544,-0.9169856113339059,-41.012047867512315
64,0.001013399999999779,36,50.96239142385204,-0.9225640358958386,-40.508607658222104
64,0.0010134999999997791,36,51.48867747711692,-0.9279393592802608,-39.99993162430301
64,0.0010135999999997792,36,52.01276943408007,-0.9331103880067289,-39.486043223946176
64,0.0010136999999997792,36,52.534662887996696,-0.9380759358352624,-38.966965970788465
64,0.0010137999999997793,36,53.05435348732718,-0.9428348237746894,-38.44272343329992
64,0.0010138999999997793,36,53.57183693570379,-0.9473858800908217,-37.91333923417147
64,0.0010139999999997794,36,54.0871089918964,-0.951727940314461,-37.378837049702895
64,0.0010140999999997795,36,54.60016546977706,-0.9558598472492368,-36.83924060919102
64,0.0010141999999997795,36,55.11100223828355,-0.9597804509792756,-36.29457369431822
64,0.0010142999999997796,36,55.61961522138185,-0.963488608876701,-35.74486013854113
64,0.0010143999999997796,36,56.12600039802758,-0.9669831856089666,-35.19012382647977
64,0.0010144999999997797,36,56.63015380212635,-0.9702630531460206,-34.63038869330686
64,0.0010145999999997797,36,57.132071522493085,-0.9733270907673023,-34.06567872413753
64,0.0010146999999997798,36,57.63174970281027,-0.9761741850685718,-33.49601795341929
64,0.0010147999999997799,36,58.129184541585175,-0.9788032299685722,-32.92143046432244
64,0.00101489999999978,36,58.62437229210604,-0.9812131267155245,-32.34194038813074
64,0.00101499999999978,36,59.11730926239719,-0.9834027838934564,-31.75757190363249
64,0.00101509999999978,36,59.607991815173165,-0.9853711174283635,-31.168349236511993
64,0.00101519999999978,36,60.09641636779175,-0.9871170505942056,-30.57429665874139
64,0.0010152999999997801,36,60.582579392206014,-0.988639514018736,-29.975438487972898
64,0.0010153999999997802,36,61.06647741491537,-0.9899374456891651,-29.37179908693148
64,0.0010154999999997803,36,61.54810701691549,-0.9910097909576591,-28.763402862807904
64,0.0010155999999997803,36,62.027464833647315,-0.9918555025466727,-28.150274266652286
65,0.0010156999999997804,0,61.93311898351644,-0.9924735405541172,-27.532437792768032
65,0.0010157999999997804,0,61.83784120304703,-0.9929289384748308,-26.915520219002634
65,0.0010158999999997805,0,61.74163552911374,-0.993222080867451,-26.299532276438693
65,0.0010159999999997805,0,61.64450600882307,-0.9933533547925089,-25.684484652811427
65,0.0010160999999997806,0,61.54645669940636,-0.9933231497987849,-25.070387992383825
65,0.0010161999999997806,0,61.44749166811287,-0.9931318579096451,-24.45725289582299
65,0.0010162999999997807,0,61.34761499210283,-0.9927798736093558,-23.845089920077672
65,0.0010163999999997808,0,61.246830758340586,-0.9922675938293777,-23.233909578256966
65,0.0010164999999997808,0,61.145143063487744,-0.9915954179346403,-22.623722339510202
65,0.0010165999999997809,0,61.04255601379634,-0.9907637477097965,-22.01453862890802
65,0.001016699999999781,0,60.93907372500209,-0.9897729873454572,-21.406368827324627
65,0.001016799999999781,0,60.83470032221764,-0.9886235434244075,-20.79922327132122
65,0.001016899999999781,0,60.729439939825916,-0.9873158249078038,-20.193112253030613
65,0.001016999999999781,0,60.62329672137344,-0.985850243121352,-19.588046020043027
65,0.0010170999999997812,0,60.51627481946378,-0.9842272117414687,-18.98403477529308
65,0.0010171999999997812,0,60.40837839565099,-0.9824471467814229,-18.38108867694793
65,0.0010172999999997813,0,60.29961162033314,-0.980510466577462,-17.77921783829663
65,0.0010173999999997813,0,60.18997867264586,-0.9784175917749196,-17.178432327640646
65,0.0010174999999997814,0,60.07948374035599,-0.9761689453143064,-16.578742168185542
65,0.0010175999999997814,0,59.96813101975527,-0.9737649524173853,-15.980157337933873
65,0.0010176999999997815,0,59.85592471555405,-0.9712060405732295,-15.382687769579238
65,0.0010177999999997816,0,59.74286904077515,-0.9684926395242656,-14.78634335040152
65,0.0010178999999997816,0,59.62896821664767,-0.9656251812523003,-14.19113392216329
65,0.0010179999999997817,0,59.514226472501015,-0.9626040999645329,-13.597069281007409
65,0.0010180999999997817,0,59.39864804565884,-0.9594298320795517,-13.004159177355787
65,0.0010181999999997818,0,59.28223718133315,-0.9561028162133168,-12.412413315809331
65,0.0010182999999997818,0,59.164998132518484,-0.9526234931651288,-11.821841355049072
65,0.001018399999999782,0,59.046935159886104,-0.9489923059035825,-11.232452907738448
65,0.001018499999999782,0,58.92805253167835,-0.9452096995525081,-10.644257540426786
65,0.001018599999999782,0,58.80835452360298,-0.9412761213768986,-10.057264773453934
65,0.001018699999999782,0,58.68784541872769,-0.9371920207688247,-9.471484080856092
65,0.0010187999999997821,0,58.56652950737463,-0.9329578492333361,-8.886924890272793
65,0.0010188999999997822,0,58.444411087015084,-0.9285740603743521,-8.303596582855068
65,0.0010189999999997822,0,58.32149446216414,-0.9240411098805386,-7.721508493174779
65,0.0010190999999997823,0,58.19778394427557,-0.9193594555111744,-7.140669909135125
65,0.0010191999999997823,0,58.073283851636695,-0.914529557082006,-6.561090071882314
65,0.0010192999999997824,0,57.947998509263414,-0.9095518764510916,-5.982778175718406
65,0.0010193999999997825,0,57.82193224879528,-0.9044268775046334,-5.405743368015322
65,0.0010194999999997825,0,57.695089408390714,-0.8991550261428007,-4.829994749130029
65,0.0010195999999997826,0,57.5674743326223,-0.8937367902655428,-4.255541372320877
65,0.0010196999999997826,0,57.439091372372154,-0.8881726397583909,-3.682392243665114
